state,sat_participate,sat_ebrw,sat_math,sat_score,act_participate,act_score,eduspend,gdp2019,pci2019,normeduspend
Alabama,0.07,583,560,1143,1.0,18.9,7327918.0,228142600.0,43880.0,3.21
Alaska,0.41,556,541,1097,0.38,20.1,2362970.0,54385600.0,62102.0,4.34
Arizona,0.31,569,565,1134,0.73,19.0,7713512.0,370119100.0,46233.0,2.08
Arkansas,0.06,582,559,1141,1.0,19.3,4899604.0,130954100.0,44845.0,3.74
California,0.63,534,531,1065,0.23,22.6,79023632.0,3132800600.0,66661.0,2.52
Colorado,1.0,518,506,1024,0.27,23.8,9168278.0,392986000.0,61348.0,2.33
Connecticut,1.0,529,516,1046,0.22,25.5,10509414.0,287822200.0,79087.0,3.65
Delaware,1.0,499,486,985,0.13,24.1,1954576.0,77082400.0,54264.0,2.54
District of Columbia,0.94,495,480,975,0.32,23.5,1175381.0,143389300.0,84538.0,0.82
Florida,1.0,516,483,999,0.54,20.1,26855594.0,1106500100.0,51989.0,2.43
Georgia,0.71,538,519,1058,0.49,21.4,18783387.0,625713600.0,48199.0,3.0
Hawaii,0.54,550,550,1100,0.8,19.0,2773688.0,95744300.0,57450.0,2.9
Idaho,1.0,505,488,993,0.31,22.5,2200780.0,83665500.0,45642.0,2.63
Illinois,1.0,509,504,1013,0.35,24.3,31764163.0,885583000.0,58935.0,3.59
Indiana,0.66,543,537,1080,0.29,22.5,10365634.0,379684100.0,48657.0,2.73
Iowa,0.03,622,622,1244,0.66,21.6,6039833.0,194658100.0,52636.0,3.1
Kansas,0.04,618,623,1241,0.72,21.2,5797384.0,176493100.0,53453.0,3.28
Kentucky,0.04,620,612,1232,1.0,19.8,7628569.0,215398900.0,44017.0,3.54
Louisiana,0.05,610,591,1200,1.0,18.8,7399923.0,256918500.0,48008.0,2.88
Maine,0.99,512,502,1013,0.06,24.3,2645498.0,67717100.0,50950.0,3.91
Maryland,0.82,535,523,1058,0.28,22.3,13214457.0,426747400.0,65683.0,3.1
Massachusetts,0.81,559,561,1120,0.21,25.5,16732275.0,596593100.0,74967.0,2.8
Michigan,1.0,507,496,1003,0.19,24.4,16655891.0,536888300.0,50320.0,3.1
Minnesota,0.04,636,648,1284,0.95,21.4,11198569.0,383777000.0,59683.0,2.92
Mississippi,0.03,628,608,1237,1.0,18.4,4274739.0,115971300.0,39368.0,3.69
Missouri,0.04,622,615,1236,0.82,20.8,9749824.0,328400600.0,49589.0,2.97
Montana,0.09,603,596,1199,1.0,19.8,1721701.0,52934600.0,49074.0,3.25
Nebraska,0.03,628,631,1260,1.0,20.0,4041381.0,130011800.0,54871.0,3.11
Nevada,0.2,580,576,1156,1.0,17.9,4235717.0,178199400.0,50883.0,2.38
New Hampshire,0.95,533,526,1059,0.14,25.0,2915356.0,87634100.0,63880.0,3.33
New Jersey,0.82,544,545,1090,0.25,24.2,28929684.0,634783600.0,70979.0,4.56
New Mexico,0.18,543,530,1073,0.63,19.3,3049739.0,105143400.0,43984.0,2.9
New York,0.79,531,533,1064,0.22,24.5,66172625.0,1772260700.0,71440.0,3.73
North Carolina,0.51,554,546,1100,1.0,19.0,13683121.0,591600900.0,47803.0,2.31
North Dakota,0.02,627,636,1263,0.96,19.9,1551404.0,57180900.0,57501.0,2.71
Ohio,0.19,550,548,1097,1.0,20.0,21918361.0,695361600.0,50546.0,3.15
Oklahoma,0.22,490,472,963,1.0,18.9,5512670.0,202036100.0,47951.0,2.73
Oregon,0.51,562,550,1112,0.42,21.1,7174911.0,253623200.0,52937.0,2.83
Pennsylvania,0.7,545,537,1082,0.17,23.6,28544883.0,808737500.0,58775.0,3.53
Rhode Island,1.0,503,492,995,0.12,24.7,2337880.0,61883800.0,56542.0,3.78
South Carolina,0.68,526,504,1030,0.78,18.8,8265270.0,247543800.0,45314.0,3.34
South Dakota,0.03,633,635,1268,0.75,21.6,1407349.0,54940900.0,53925.0,2.56
Tennessee,0.07,618,602,1220,1.0,19.4,9639660.0,376582400.0,48761.0,2.56
Texas,0.68,515,507,1022,0.39,20.5,49423693.0,1843802700.0,52504.0,2.68
Utah,0.04,614,615,1230,1.0,20.3,4590104.0,192519200.0,48395.0,2.38
Vermont,0.66,560,546,1106,0.2,24.1,1506357.0,34013400.0,56691.0,4.43
Virginia,0.68,567,551,1119,0.21,24.0,15853160.0,556905200.0,60116.0,2.85
Washington,0.7,539,535,1074,0.24,22.1,14452717.0,612996500.0,64898.0,2.36
West Virginia,0.99,483,460,943,0.49,20.8,3128251.0,78863900.0,42336.0,3.97
Wisconsin,0.03,635,648,1283,1.0,20.3,10635641.0,349416500.0,53583.0,3.04
Wyoming,0.03,623,615,1238,1.0,19.8,1524442.0,40420100.0,63316.0,3.77
